number,contact_type,u_wait_reason,assignment_group,closed_at,resolved_at,u_subcategory,u_symptom,opened_at,sys_mod_count,reassignment_count
INC0120526,Self-service,,Service Desk,11/4/22 18:00,11/1/22 18:00,Computer (Desktop/Laptop),How To/Question,10/21/22 17:03,11,0
INC0120422,Email,,Service Desk,11/4/22 18:00,11/1/22 18:00,ERP,Configure/Modify,10/18/22 10:52,9,2
INC0120775,Phone,,Service Desk,,,Desktop Application,Security/Policy Breach,11/4/22 12:18,5,0
INC0120683,Email,,Enterprise Applications,11/4/22 17:00,11/1/22 17:00,ERP,Configure/Modify,11/1/22 9:37,7,1
INC0120358,Email,,Enterprise Applications,,,ERP,Configure/Modify,10/13/22 10:36,14,1
INC0120514,Walk-in,,Service Desk,,,Computer (Desktop/Laptop),Install/New,10/21/22 9:12,14,2
INC0120582,Phone,Waiting for Pickup,Service Desk,,,Computer (Desktop/Laptop),Broken/Not Working,10/25/22 16:40,14,1
INC0120769,Email,,Enterprise Applications,,11/4/22 12:00,ERP,Configure/Modify,11/4/22 10:39,4,1
INC0120780,Self-service,,Networks,,,Wired Network,Connectivity/Down,11/4/22 13:31,1,0
INC0120706,Self-service,,Student Computing,11/4/22 16:00,11/1/22 16:00,General Information,How To/Question,11/1/22 15:36,3,0
INC0120669,Email,,Service Desk,11/4/22 16:00,11/1/22 16:00,OS,Configure/Modify,10/31/22 14:59,4,0
INC0120618,Email,,Service Desk,,11/4/22 12:00,College Account/Identity Mgmt,Configure/Modify,10/27/22 15:27,4,0
INC0120626,Phone,,Service Desk,11/4/22 16:00,11/1/22 16:00,Desktop Application,Configure/Modify,10/28/22 11:06,2,0
INC0120740,Email,,Enterprise Applications,,,ERP,Error/Bug,11/2/22 17:35,12,1
INC0119326,Email,Waiting for Vendor,Student Computing,,,Phone/Fax/Credit Card Line,Connectivity/Down,9/2/22 11:04,23,5
INC0120655,Self-service,Waiting for Customer Response,Service Desk,,,Peripheral,Replace/Upgrade,10/31/22 10:53,6,0
INC0120703,Email,Waiting for Customer Response,Service Desk,,,Windows File Server (fs),Configure/Modify,11/1/22 14:55,5,0
INC0120783,Self-service,,Networks,,,Server,Configure/Modify,11/4/22 14:45,2,0
INC0118317,Self-service,Waiting for Delivery,Service Desk,,,Computer (Desktop/Laptop),Install/New,7/22/22 13:52,12,4
INC0120785,Email,Waiting for Customer Response,Service Desk,,,Computer (Desktop/Laptop),Performance,11/4/22 14:52,0,0
INC0120700,Self-service,,Student Computing,11/4/22 15:00,11/1/22 15:00,General Information,How To/Question,11/1/22 14:21,3,0
INC0120702,Walk-in,,Service Desk,11/4/22 15:00,11/1/22 15:00,Desktop Application,How To/Question,11/1/22 14:42,1,0
